Date_Time,Year,Month,Day,Time,Hourly_Counts
"March 01, 2020 12:00:00 AM",2020,March,Sunday,0,579
"March 01, 2020 01:00:00 AM",2020,March,Sunday,1,515
"March 01, 2020 02:00:00 AM",2020,March,Sunday,2,281
"March 01, 2020 03:00:00 AM",2020,March,Sunday,3,157
"March 01, 2020 04:00:00 AM",2020,March,Sunday,4,125
"March 01, 2020 05:00:00 AM",2020,March,Sunday,5,85
"March 01, 2020 06:00:00 AM",2020,March,Sunday,6,27
"March 01, 2020 07:00:00 AM",2020,March,Sunday,7,63
"March 01, 2020 08:00:00 AM",2020,March,Sunday,8,97
"March 01, 2020 09:00:00 AM",2020,March,Sunday,9,240
"March 01, 2020 10:00:00 AM",2020,March,Sunday,10,496
"March 01, 2020 11:00:00 AM",2020,March,Sunday,11,635
"March 01, 2020 12:00:00 PM",2020,March,Sunday,12,768
"March 01, 2020 01:00:00 PM",2020,March,Sunday,13,739
"March 01, 2020 02:00:00 PM",2020,March,Sunday,14,745
"March 01, 2020 03:00:00 PM",2020,March,Sunday,15,776
"March 01, 2020 04:00:00 PM",2020,March,Sunday,16,776
"March 01, 2020 05:00:00 PM",2020,March,Sunday,17,605
"March 01, 2020 06:00:00 PM",2020,March,Sunday,18,574
"March 01, 2020 07:00:00 PM",2020,March,Sunday,19,479
"March 01, 2020 08:00:00 PM",2020,March,Sunday,20,411
"March 01, 2020 09:00:00 PM",2020,March,Sunday,21,314
"March 01, 2020 10:00:00 PM",2020,March,Sunday,22,256
"March 01, 2020 11:00:00 PM",2020,March,Sunday,23,135
"March 02, 2020 12:00:00 AM",2020,March,Monday,0,70
"March 02, 2020 01:00:00 AM",2020,March,Monday,1,46
"March 02, 2020 02:00:00 AM",2020,March,Monday,2,20
"March 02, 2020 03:00:00 AM",2020,March,Monday,3,23
"March 02, 2020 04:00:00 AM",2020,March,Monday,4,14
"March 02, 2020 05:00:00 AM",2020,March,Monday,5,28
"March 02, 2020 06:00:00 AM",2020,March,Monday,6,65
"March 02, 2020 07:00:00 AM",2020,March,Monday,7,264
"March 02, 2020 08:00:00 AM",2020,March,Monday,8,609
"March 02, 2020 09:00:00 AM",2020,March,Monday,9,551
"March 02, 2020 10:00:00 AM",2020,March,Monday,10,687
"March 02, 2020 11:00:00 AM",2020,March,Monday,11,865
"March 02, 2020 12:00:00 PM",2020,March,Monday,12,2077
"March 02, 2020 01:00:00 PM",2020,March,Monday,13,1905
"March 02, 2020 02:00:00 PM",2020,March,Monday,14,1157
"March 02, 2020 03:00:00 PM",2020,March,Monday,15,1037
"March 02, 2020 04:00:00 PM",2020,March,Monday,16,1101
"March 02, 2020 05:00:00 PM",2020,March,Monday,17,1215
"March 02, 2020 06:00:00 PM",2020,March,Monday,18,763
"March 02, 2020 07:00:00 PM",2020,March,Monday,19,489
"March 02, 2020 08:00:00 PM",2020,March,Monday,20,473
"March 02, 2020 09:00:00 PM",2020,March,Monday,21,322
"March 02, 2020 10:00:00 PM",2020,March,Monday,22,183
"March 02, 2020 11:00:00 PM",2020,March,Monday,23,118
"March 03, 2020 12:00:00 AM",2020,March,Tuesday,0,72
"March 03, 2020 01:00:00 AM",2020,March,Tuesday,1,27
"March 03, 2020 02:00:00 AM",2020,March,Tuesday,2,38
"March 03, 2020 03:00:00 AM",2020,March,Tuesday,3,7
"March 03, 2020 04:00:00 AM",2020,March,Tuesday,4,12
"March 03, 2020 05:00:00 AM",2020,March,Tuesday,5,33
"March 03, 2020 06:00:00 AM",2020,March,Tuesday,6,90
"March 03, 2020 07:00:00 AM",2020,March,Tuesday,7,298
"March 03, 2020 08:00:00 AM",2020,March,Tuesday,8,643
"March 03, 2020 09:00:00 AM",2020,March,Tuesday,9,647
"March 03, 2020 10:00:00 AM",2020,March,Tuesday,10,703
"March 03, 2020 11:00:00 AM",2020,March,Tuesday,11,804
"March 03, 2020 12:00:00 PM",2020,March,Tuesday,12,2031
"March 03, 2020 01:00:00 PM",2020,March,Tuesday,13,2017
"March 03, 2020 02:00:00 PM",2020,March,Tuesday,14,1125
"March 03, 2020 03:00:00 PM",2020,March,Tuesday,15,980
"March 03, 2020 04:00:00 PM",2020,March,Tuesday,16,1084
"March 03, 2020 05:00:00 PM",2020,March,Tuesday,17,1304
"March 03, 2020 06:00:00 PM",2020,March,Tuesday,18,945
"March 03, 2020 07:00:00 PM",2020,March,Tuesday,19,641
"March 03, 2020 08:00:00 PM",2020,March,Tuesday,20,466
"March 03, 2020 09:00:00 PM",2020,March,Tuesday,21,357
"March 03, 2020 10:00:00 PM",2020,March,Tuesday,22,177
"March 03, 2020 11:00:00 PM",2020,March,Tuesday,23,102
"March 04, 2020 12:00:00 AM",2020,March,Wednesday,0,63
"March 04, 2020 01:00:00 AM",2020,March,Wednesday,1,34
"March 04, 2020 02:00:00 AM",2020,March,Wednesday,2,18
"March 04, 2020 03:00:00 AM",2020,March,Wednesday,3,12
"March 04, 2020 04:00:00 AM",2020,March,Wednesday,4,17
"March 04, 2020 05:00:00 AM",2020,March,Wednesday,5,30
"March 04, 2020 06:00:00 AM",2020,March,Wednesday,6,111
"March 04, 2020 07:00:00 AM",2020,March,Wednesday,7,293
"March 04, 2020 08:00:00 AM",2020,March,Wednesday,8,633
"March 04, 2020 09:00:00 AM",2020,March,Wednesday,9,687
"March 04, 2020 10:00:00 AM",2020,March,Wednesday,10,632
"March 04, 2020 11:00:00 AM",2020,March,Wednesday,11,871
"March 04, 2020 12:00:00 PM",2020,March,Wednesday,12,1924
"March 04, 2020 01:00:00 PM",2020,March,Wednesday,13,1906
"March 04, 2020 02:00:00 PM",2020,March,Wednesday,14,1205
"March 04, 2020 03:00:00 PM",2020,March,Wednesday,15,1048
"March 04, 2020 04:00:00 PM",2020,March,Wednesday,16,1106
"March 04, 2020 05:00:00 PM",2020,March,Wednesday,17,1351
"March 04, 2020 06:00:00 PM",2020,March,Wednesday,18,970
"March 04, 2020 07:00:00 PM",2020,March,Wednesday,19,681
"March 04, 2020 08:00:00 PM",2020,March,Wednesday,20,404
"March 04, 2020 09:00:00 PM",2020,March,Wednesday,21,299
"March 04, 2020 10:00:00 PM",2020,March,Wednesday,22,293
"March 04, 2020 11:00:00 PM",2020,March,Wednesday,23,147
"March 05, 2020 12:00:00 AM",2020,March,Thursday,0,73
"March 05, 2020 01:00:00 AM",2020,March,Thursday,1,46
"March 05, 2020 02:00:00 AM",2020,March,Thursday,2,29
"March 05, 2020 03:00:00 AM",2020,March,Thursday,3,21
"March 05, 2020 04:00:00 AM",2020,March,Thursday,4,10
"March 05, 2020 05:00:00 AM",2020,March,Thursday,5,21
"March 05, 2020 06:00:00 AM",2020,March,Thursday,6,77
"March 05, 2020 07:00:00 AM",2020,March,Thursday,7,319
"March 05, 2020 08:00:00 AM",2020,March,Thursday,8,616
"March 05, 2020 09:00:00 AM",2020,March,Thursday,9,620
"March 05, 2020 10:00:00 AM",2020,March,Thursday,10,703
"March 05, 2020 11:00:00 AM",2020,March,Thursday,11,681
"March 05, 2020 12:00:00 PM",2020,March,Thursday,12,1462
"March 05, 2020 01:00:00 PM",2020,March,Thursday,13,1286
"March 05, 2020 02:00:00 PM",2020,March,Thursday,14,969
"March 05, 2020 03:00:00 PM",2020,March,Thursday,15,984
"March 05, 2020 04:00:00 PM",2020,March,Thursday,16,932
"March 05, 2020 05:00:00 PM",2020,March,Thursday,17,1225
"March 05, 2020 06:00:00 PM",2020,March,Thursday,18,1139
"March 05, 2020 07:00:00 PM",2020,March,Thursday,19,716
"March 05, 2020 08:00:00 PM",2020,March,Thursday,20,557
"March 05, 2020 09:00:00 PM",2020,March,Thursday,21,351
"March 05, 2020 10:00:00 PM",2020,March,Thursday,22,263
"March 05, 2020 11:00:00 PM",2020,March,Thursday,23,181
"March 06, 2020 12:00:00 AM",2020,March,Friday,0,120
"March 06, 2020 01:00:00 AM",2020,March,Friday,1,54
"March 06, 2020 02:00:00 AM",2020,March,Friday,2,62
"March 06, 2020 03:00:00 AM",2020,March,Friday,3,90
"March 06, 2020 04:00:00 AM",2020,March,Friday,4,21
"March 06, 2020 05:00:00 AM",2020,March,Friday,5,45
"March 06, 2020 06:00:00 AM",2020,March,Friday,6,87
"March 06, 2020 07:00:00 AM",2020,March,Friday,7,258
"March 06, 2020 08:00:00 AM",2020,March,Friday,8,590
"March 06, 2020 09:00:00 AM",2020,March,Friday,9,636
"March 06, 2020 10:00:00 AM",2020,March,Friday,10,695
"March 06, 2020 11:00:00 AM",2020,March,Friday,11,872
"March 06, 2020 12:00:00 PM",2020,March,Friday,12,1843
"March 06, 2020 01:00:00 PM",2020,March,Friday,13,2029
"March 06, 2020 02:00:00 PM",2020,March,Friday,14,1360
"March 06, 2020 03:00:00 PM",2020,March,Friday,15,1087
"March 06, 2020 04:00:00 PM",2020,March,Friday,16,1334
"March 06, 2020 05:00:00 PM",2020,March,Friday,17,1523
"March 06, 2020 06:00:00 PM",2020,March,Friday,18,1236
"March 06, 2020 07:00:00 PM",2020,March,Friday,19,1028
"March 06, 2020 08:00:00 PM",2020,March,Friday,20,800
"March 06, 2020 09:00:00 PM",2020,March,Friday,21,838
"March 06, 2020 10:00:00 PM",2020,March,Friday,22,747
"March 06, 2020 11:00:00 PM",2020,March,Friday,23,587
"March 07, 2020 12:00:00 AM",2020,March,Saturday,0,413
"March 07, 2020 01:00:00 AM",2020,March,Saturday,1,381
"March 07, 2020 02:00:00 AM",2020,March,Saturday,2,191
"March 07, 2020 03:00:00 AM",2020,March,Saturday,3,185
"March 07, 2020 04:00:00 AM",2020,March,Saturday,4,95
"March 07, 2020 05:00:00 AM",2020,March,Saturday,5,76
"March 07, 2020 06:00:00 AM",2020,March,Saturday,6,54
"March 07, 2020 07:00:00 AM",2020,March,Saturday,7,112
"March 07, 2020 08:00:00 AM",2020,March,Saturday,8,181
"March 07, 2020 09:00:00 AM",2020,March,Saturday,9,345
"March 07, 2020 10:00:00 AM",2020,March,Saturday,10,536
"March 07, 2020 11:00:00 AM",2020,March,Saturday,11,796
"March 07, 2020 12:00:00 PM",2020,March,Saturday,12,930
"March 07, 2020 01:00:00 PM",2020,March,Saturday,13,996
"March 07, 2020 02:00:00 PM",2020,March,Saturday,14,1112
"March 07, 2020 03:00:00 PM",2020,March,Saturday,15,1129
"March 07, 2020 04:00:00 PM",2020,March,Saturday,16,1150
"March 07, 2020 05:00:00 PM",2020,March,Saturday,17,1043
"March 07, 2020 06:00:00 PM",2020,March,Saturday,18,892
"March 07, 2020 07:00:00 PM",2020,March,Saturday,19,937
"March 07, 2020 08:00:00 PM",2020,March,Saturday,20,693
"March 07, 2020 09:00:00 PM",2020,March,Saturday,21,643
"March 07, 2020 10:00:00 PM",2020,March,Saturday,22,769
"March 07, 2020 11:00:00 PM",2020,March,Saturday,23,549
"March 08, 2020 12:00:00 AM",2020,March,Sunday,0,471
"March 08, 2020 01:00:00 AM",2020,March,Sunday,1,501
"March 08, 2020 02:00:00 AM",2020,March,Sunday,2,309
"March 08, 2020 03:00:00 AM",2020,March,Sunday,3,252
"March 08, 2020 04:00:00 AM",2020,March,Sunday,4,119
"March 08, 2020 05:00:00 AM",2020,March,Sunday,5,86
"March 08, 2020 06:00:00 AM",2020,March,Sunday,6,34
"March 08, 2020 07:00:00 AM",2020,March,Sunday,7,64
